requirement_id,project_id,talent_type,required_category_id,min_followers
f8dcc2e7-07b7-4112-b25e-4ae904101a50,432f7490-6f92-454c-8704-a79a015e3e2b,KOL,f4a6b24b-f405-46c0-81ec-7ad5109e5f31,1000000.0
f1d08845-f969-435d-9225-a3ce3f81b7ce,432f7490-6f92-454c-8704-a79a015e3e2b,KOL,9656b6a1-075d-4772-b4d9-ce3c84e19e65,50000.0
2ada8ffd-cd5b-409d-9d84-fa079ece0c01,fbbcbd3c-45b7-4b17-81ef-038880461c38,KOL,2122b2ca-16dd-4f00-960e-8e2783d0f917,500000.0
aed65659-2b57-47e9-b7a6-e72130a15eca,fbbcbd3c-45b7-4b17-81ef-038880461c38,DIRECTOR,9656b6a1-075d-4772-b4d9-ce3c84e19e65,
e48f06f8-3cff-4cec-8e2f-ae79becec6d4,88606799-36bf-4fc3-8468-f3c01676f3a3,KOL,fc45ee87-0734-42c8-942b-1573323061ac,50000.0
3a7f9736-95fb-43f7-8792-04b0cc7ccb72,b1d477c8-5e8a-4b7d-a27b-5ea8781b8c6f,KOL,83106139-7db2-4587-bc5e-99e9198ffb54,50000.0
612d4bf4-fdf2-4bb8-a976-cacbbc0700c9,b1d477c8-5e8a-4b7d-a27b-5ea8781b8c6f,DIRECTOR,6c633c0f-7aae-4fa8-954d-5736852147f2,
ce2b4e73-0257-406b-b938-6655d4d1a31a,b1d477c8-5e8a-4b7d-a27b-5ea8781b8c6f,KOL,f4a6b24b-f405-46c0-81ec-7ad5109e5f31,100000.0
44c13b4b-ed1d-4478-91c5-4942d17dbb64,2b7c65f0-362e-4117-845a-1b0a210b14af,KOL,9bdf1a84-1e77-45fe-a7ff-7dda4a727023,1000000.0
2036f6f8-cb86-409c-af4a-522f26a3b635,2b7c65f0-362e-4117-845a-1b0a210b14af,DIRECTOR,6c633c0f-7aae-4fa8-954d-5736852147f2,
d2eb0dc8-0882-4dbd-bc58-801cb6d39315,2b7c65f0-362e-4117-845a-1b0a210b14af,KOL,104bdfde-0fb6-49aa-86eb-a16aa25cfa12,500000.0
49d83ee8-b2d6-40ce-a9c9-951762fabe27,30d823cd-4c29-4f2e-80b6-a8a3f6fab74b,DIRECTOR,f769464f-0000-46ed-bd35-193dedbb5364,
9cba65dd-9b43-4b00-9564-858cfcb4f007,30d823cd-4c29-4f2e-80b6-a8a3f6fab74b,KOL,104bdfde-0fb6-49aa-86eb-a16aa25cfa12,1000000.0
4e8c5f37-828d-422f-9901-56c81f17e1ad,bd82fe80-aa52-4a63-b1a8-1390f4531b77,KOL,fc45ee87-0734-42c8-942b-1573323061ac,1000000.0
fcdcfdc9-4c15-40bd-be35-0612f88a2a13,bd82fe80-aa52-4a63-b1a8-1390f4531b77,KOL,4b6422e5-9222-44c4-9615-b1ca0542d1ca,50000.0
0ec17ec6-487b-4208-bfa4-961e50f2dcb0,6beb0647-951e-487b-8532-0c4396d535b7,DIRECTOR,0e5498aa-aecd-414c-a1a4-458f8d588375,
c5323dfd-2184-4467-b876-de271e14b43b,6beb0647-951e-487b-8532-0c4396d535b7,KOL,0e5498aa-aecd-414c-a1a4-458f8d588375,50000.0
cde57fb7-1afe-4195-be80-757397b8bed3,4d6eedd8-5948-46b8-914e-1db5101ab818,DIRECTOR,fc45ee87-0734-42c8-942b-1573323061ac,
