portfolio_id,user_id,project_title,video_url,role_played,thumbnail_url
b6bb114b-a102-4136-ae38-b8b112aaa141,d9b6cb85-b36e-49bd-927a-9159ab39df97,TVC Vinamilk - Sữa Tươi 100%,https://vimeo.com/305986733,Editor,https://i.vimeocdn.com/video/7361002.jpg
1a6f3819-7484-42ee-847c-d223af17814f,d9b6cb85-b36e-49bd-927a-9159ab39df97,MV Đức Phúc - Hơn Cả Yêu,https://vimeo.com/827264603,DoP,https://i.vimeocdn.com/video/6049101.jpg
208ad2b8-b552-4faa-8e44-15a9d229c656,3e805d41-4c84-47ae-9d47-50fb27feb134,TVC Thế Giới Di Động - Back to School,https://vimeo.com/688343096,Main Director,https://i.vimeocdn.com/video/6098175.jpg
158825cc-aff4-44e9-8a82-cd27d6c16b68,3e805d41-4c84-47ae-9d47-50fb27feb134,Documentary Mekong Delta Life,https://vimeo.com/408071259,DoP,https://i.vimeocdn.com/video/8212326.jpg
678c824f-efcb-4460-b859-a6cf5beb4c4c,3e805d41-4c84-47ae-9d47-50fb27feb134,MV Sơn Tùng M-TP - Lạc Trôi,https://vimeo.com/943702118,Main Director,https://i.vimeocdn.com/video/6406444.jpg
65ad82c0-b726-43df-9e7c-4073d0a71b5d,3e805d41-4c84-47ae-9d47-50fb27feb134,TVC Highlands Coffee - Morning Ritual,https://vimeo.com/599277266,Editor,https://i.vimeocdn.com/video/8418210.jpg
171ddf32-01b3-4544-90d5-d7fb9c6b0e5d,2a38e28a-4060-46c9-bbf3-6c3e6540667e,TVC Highlands Coffee - Morning Ritual,https://vimeo.com/648868899,Editor,https://i.vimeocdn.com/video/3846949.jpg
17817198-052b-4c0e-91c8-041abef7f6b7,2a38e28a-4060-46c9-bbf3-6c3e6540667e,Brand Film Coolmate - Made in Vietnam,https://vimeo.com/807435606,Main Director,https://i.vimeocdn.com/video/5761145.jpg
9783366a-b492-49f0-b28e-bdc437cba24a,eed79ceb-f6df-440a-be1f-f6da8bdd1892,Corporate Video Sunhouse,https://vimeo.com/200273738,DoP,https://i.vimeocdn.com/video/6207974.jpg
0977f1a8-b66d-4f6d-a420-b355115e3fa1,eed79ceb-f6df-440a-be1f-f6da8bdd1892,MV Phương Ly - Mặt Trời Của Em,https://vimeo.com/341206079,DoP,https://i.vimeocdn.com/video/3472189.jpg
99232789-f57a-4e3d-90de-c9808358f825,eed79ceb-f6df-440a-be1f-f6da8bdd1892,TVC CellphoneS - iPhone Launch,https://vimeo.com/126226563,Main Director,https://i.vimeocdn.com/video/5107776.jpg
a4288987-3a88-43b5-b349-1e0854f84580,d88f1163-f2fd-4bc4-b1b5-089a5babfee1,Event Film Vietnam Tech Summit,https://vimeo.com/756350429,Main Director,https://i.vimeocdn.com/video/8640615.jpg
807f7f85-c56e-4ad6-a71e-b0c56996b86a,d88f1163-f2fd-4bc4-b1b5-089a5babfee1,Documentary Hanoi 1000 Years,https://vimeo.com/545002643,Main Director,https://i.vimeocdn.com/video/4262081.jpg
1eb2b61c-9f27-40cd-98fb-9c560544896e,d88f1163-f2fd-4bc4-b1b5-089a5babfee1,TVC TH True Milk - Organic Farm,https://vimeo.com/871318048,Editor,https://i.vimeocdn.com/video/9294272.jpg
90ddfb7f-7d4a-4024-bd43-fba7cdeb3d96,d88f1163-f2fd-4bc4-b1b5-089a5babfee1,MV Soobin - BlackJack,https://vimeo.com/529123992,DoP,https://i.vimeocdn.com/video/3475836.jpg
1736e0df-60da-46ad-a16b-aea114c8bba6,7b6eb24a-dd06-4950-b0bf-d1924081e77f,MV Soobin - BlackJack,https://vimeo.com/906341966,Main Director,https://i.vimeocdn.com/video/8132769.jpg
3731da02-72aa-41b2-9155-5d4c6148e862,f367c0f5-b410-4aec-b1cf-0fc74a4ab493,Event Film Saigon Fashion Week,https://vimeo.com/288856883,Main Director,https://i.vimeocdn.com/video/8793853.jpg
05b66e27-c3db-41b2-9695-4413f8500dc9,f367c0f5-b410-4aec-b1cf-0fc74a4ab493,Documentary Street Food Saigon,https://vimeo.com/153921577,Main Director,https://i.vimeocdn.com/video/5180853.jpg
a4c6f3b4-be92-4a1e-9d7f-a59c91d474f5,0426106b-2aa8-4364-b3de-a44cf15dde9c,MV Đức Phúc - Hơn Cả Yêu,https://vimeo.com/590122159,DoP,https://i.vimeocdn.com/video/8795419.jpg
1b5e6442-4828-455d-971c-81d3cf49796c,3953459c-ad86-4373-b536-0786480c9823,Documentary Mekong Delta Life,https://vimeo.com/910943524,Editor,https://i.vimeocdn.com/video/9468772.jpg
28d0941d-243e-4e6d-b1ae-d7879cb601a9,3953459c-ad86-4373-b536-0786480c9823,MV Sơn Tùng M-TP - Lạc Trôi,https://vimeo.com/558209399,Main Director,https://i.vimeocdn.com/video/8481188.jpg
11368fd0-197d-42fe-b5ec-e3c31186801e,3953459c-ad86-4373-b536-0786480c9823,TVC Highlands Coffee - Morning Ritual,https://vimeo.com/270894498,Editor,https://i.vimeocdn.com/video/8550917.jpg
9cd089dd-4cf5-4e93-88fe-70e982206461,3990df71-5528-4679-9458-dce955d4f1b7,Brand Film Coolmate - Made in Vietnam,https://vimeo.com/907214179,DoP,https://i.vimeocdn.com/video/5652512.jpg
b8573eb8-4b46-4470-9e9f-a5d116614c13,3990df71-5528-4679-9458-dce955d4f1b7,TVC FPT Shop - Tết 2025,https://vimeo.com/922286180,Main Director,https://i.vimeocdn.com/video/9130188.jpg
7158632f-39a9-4c03-8887-850f51cdccb4,3990df71-5528-4679-9458-dce955d4f1b7,Corporate Video Sunhouse,https://vimeo.com/772966010,DoP,https://i.vimeocdn.com/video/5606980.jpg
3427c66d-d8e9-4fef-866f-8a744e4d7c50,1be2b58f-c563-4cf5-9952-ce84fe0471da,MV Phương Ly - Mặt Trời Của Em,https://vimeo.com/183197117,Assistant Director,https://i.vimeocdn.com/video/4934149.jpg
a01a4425-35b7-4191-9557-d6d8ffccc781,1be2b58f-c563-4cf5-9952-ce84fe0471da,TVC CellphoneS - iPhone Launch,https://vimeo.com/391751878,Assistant Director,https://i.vimeocdn.com/video/6363836.jpg
daffdf66-87fd-41d5-aff2-cc5a1012a57b,1be2b58f-c563-4cf5-9952-ce84fe0471da,Event Film Vietnam Tech Summit,https://vimeo.com/679984033,Main Director,https://i.vimeocdn.com/video/3321531.jpg
69fb720f-6064-4708-ac98-bdf7e71c2c9e,1be2b58f-c563-4cf5-9952-ce84fe0471da,Documentary Hanoi 1000 Years,https://vimeo.com/261953189,DoP,https://i.vimeocdn.com/video/7426265.jpg
ba5eddc6-06e3-4a1f-9b9e-bbaa9a9cf1c5,843d4bf5-a5a0-475f-b880-0841a7bfece6,Documentary Hanoi 1000 Years,https://vimeo.com/858511779,DoP,https://i.vimeocdn.com/video/2077581.jpg
6b704992-04be-40a0-bbe2-b2eb718895a7,843d4bf5-a5a0-475f-b880-0841a7bfece6,TVC TH True Milk - Organic Farm,https://vimeo.com/545461013,Editor,https://i.vimeocdn.com/video/6551268.jpg
d6a7c2de-c752-4c25-99b8-bd7a39a1fd71,509f22e9-8c10-44d3-a848-d844d62edfe9,Brand Film Bitis - Walk Your Way,https://vimeo.com/546434187,Main Director,https://i.vimeocdn.com/video/4470105.jpg
2897bce0-d52f-4124-a174-680a7d3f544c,509f22e9-8c10-44d3-a848-d844d62edfe9,TVC Phúc Long - Trà Sen Vàng,https://vimeo.com/994310083,Editor,https://i.vimeocdn.com/video/7534336.jpg
